port_type.keys,port_type.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,choice.keys,choice.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prompt,opt_a,opt_b,correct,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_4.keys,key_resp_4.rt
0,28.7031,5f5aa6d5b8e6411a69e274d5,001,2022-09-19_19h23.41.640,rothman_exp,2022.2.3,Win32,143.7814522,,,,,,,,,,,,,,,,,,,,,,
,,5f5aa6d5b8e6411a69e274d5,001,2022-09-19_19h23.41.640,rothman_exp,2022.2.3,Win32,143.7814522,1,10.3266,0,0,0,6,1,"Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.",meninos fortes,fortes meninos,opt_a,,,,,,,,,,,
,,5f5aa6d5b8e6411a69e274d5,001,2022-09-19_19h23.41.640,rothman_exp,2022.2.3,Win32,143.7814522,1,13.4877,0,1,1,8,1,"Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra' (estudioso)",estudantes estudiosos,estudiosos estudantes,opt_a,,,,,,,,,,,
,,5f5aa6d5b8e6411a69e274d5,001,2022-09-19_19h23.41.640,rothman_exp,2022.2.3,Win32,143.7814522,0,13.9927,0,2,2,0,1,"Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada. (valente)",super-heróis valentes,valentes super-heróis,opt_b,,,,,,,,,,,
,,5f5aa6d5b8e6411a69e274d5,001,2022-09-19_19h23.41.640,rothman_exp,2022.2.3,Win32,143.7814522,1,9.5172,0,3,3,5,1,Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer. (afetuoso),pais afetuosos,afetuosos pais,opt_a,,,,,,,,,,,
,,5f5aa6d5b8e6411a69e274d5,001,2022-09-19_19h23.41.640,rothman_exp,2022.2.3,Win32,143.7814522,1,3.7139,0,4,4,9,1,Meus amigos não têm dinheiro. São _______________.,amigos pobres,pobres amigos,opt_a,,,,,,,,,,,
,,5f5aa6d5b8e6411a69e274d5,001,2022-09-19_19h23.41.640,rothman_exp,2022.2.3,Win32,143.7814522,0,9.965,0,5,5,1,1,Esse livro é a edição do ano passado - precisamos do ________,Livro novo,livro novo,opt_b,,,,,,,,,,,
,,5f5aa6d5b8e6411a69e274d5,001,2022-09-19_19h23.41.640,rothman_exp,2022.2.3,Win32,143.7814522,0,5.4967,0,6,6,3,1,O professor ensina dois cursos que você pode fazer. Há _______________.,opções várias,várias opções,opt_b,,,,,,,,,,,
,,5f5aa6d5b8e6411a69e274d5,001,2022-09-19_19h23.41.640,rothman_exp,2022.2.3,Win32,143.7814522,0,6.1038,0,7,7,2,1,Eu a conheci há muitos anos. É uma _______________.,amigo velho,velho amigo,opt_b,,,,,,,,,,,
,,5f5aa6d5b8e6411a69e274d5,001,2022-09-19_19h23.41.640,rothman_exp,2022.2.3,Win32,143.7814522,0,7.9475,0,8,8,4,1,"Era apenas uma pessoa, não duas pessoas. Foi a _______________ .",pessoa mesma,mesma pessoa,opt_b,,,,,,,,,,,
